Date,Open,High,Low,Close*,Adj Close**,Volume,percentage,z-score
2016-10-12,18132.63,18193.96,18082.09,18144.2,18144.2,72230000.0,0.0008572062138072489,-1.2785642677465425
2016-10-13,18088.32,18137.7,17959.95,18098.94,18098.94,83160000.0,-0.0024944610398915934,-1.4774737246592218
2016-10-14,18177.35,18261.11,18138.38,18138.38,18138.38,87050000.0,0.002179133142603984,-1.2138715655773666
2016-10-17,18135.85,18162.28,18063.02,18086.4,18086.4,75960000.0,-0.0028657465550947503,-1.4477591536565935
2016-10-18,18145.06,18225.8,18129.45,18161.94,18161.94,74600000.0,0.004176618895965767,-0.9985148238228212
2016-10-19,18178.21,18252.2,18169.25,18202.62,18202.62,88040000.0,0.002239848826722346,-0.7441002308729872
2016-10-20,18161.87,18249.05,18129.07,18162.35,18162.35,88830000.0,-0.0022123188859626275,-0.9301040628849938
2016-10-21,18152.63,18168.76,18049.77,18145.71,18145.71,117810000.0,-0.0009161810008065929,-0.9839888193183348
2016-10-24,18197.14,18275.04,18191.18,18223.03,18223.03,88540000.0,0.004261062256588399,-0.5285919749587883
2016-10-25,18206.52,18241.69,18151.7,18169.27,18169.27,83190000.0,-0.002950113126082732,-0.798712626695027
2016-10-26,18103.8,18236.04,18062.3,18199.33,18199.33,86340000.0,0.0016544418130173266,-0.5974459585994244
2016-10-27,18234.81,18253.2,18149.2,18169.68,18169.68,83530000.0,-0.001629180854460066,-0.7429460314568276
2016-10-28,18193.79,18257.06,18094.97,18161.19,18161.19,107850000.0,-0.00046726194407398225,-0.7633719537388204
2016-10-31,18176.6,18193.68,18130.58,18142.42,18142.42,110080000.0,-0.0010335225830465644,-0.8490388234672533
2016-11-01,18158.24,18177.01,17940.84,18037.1,18037.1,101280000.0,-0.00580517924290147,-1.4756098678412528
2016-11-02,18017.72,18044.15,17931.89,17959.64,17959.64,88610000.0,-0.00429448192891313,-1.8971481389450484
2016-11-03,17978.75,18006.96,17904.07,17930.67,17930.67,77860000.0,-0.0016130612863064497,-1.9911217301979518
2016-11-04,17928.35,17986.76,17883.56,17888.28,17888.28,97760000.0,-0.00236410574730328,-2.158872290642041
2016-11-07,17994.64,18263.3,17994.64,18259.6,18259.6,93450000.0,0.02075772516977592,0.21530995556468072
2016-11-08,18251.38,18400.5,18200.75,18332.74,18332.74,79820000.0,0.0040055641963681055,0.7140644193924959
2016-11-09,18317.26,18650.06,18252.55,18589.69,18589.69,173110000.0,0.014015908151209011,2.2802611237859343
2016-11-10,18603.14,18873.66,18603.14,18807.88,18807.88,164390000.0,0.011737151076752994,3.3007334691311985
2016-11-11,18781.65,18855.78,18736.96,18847.66,18847.66,107300000.0,0.002115070917083628,3.1679918432660394
2016-11-14,18876.77,18934.05,18815.75,18868.69,18868.69,112250000.0,0.001115788379034699,2.955785707000178
2016-11-15,18858.21,18925.26,18806.06,18923.06,18923.06,100660000.0,0.0028814930978251496,2.908060803909305
2016-11-16,18909.85,18909.85,18825.89,18868.14,18868.14,87320000.0,-0.002902279018298426,2.4923479171899783
2016-11-17,18866.22,18904.03,18845.27,18903.82,18903.82,89940000.0,0.0018910184045697331,2.4772082786106164
2016-11-18,18905.33,18915.74,18853.83,18867.93,18867.93,109880000.0,-0.0018985580692155724,2.215712412957958
2016-11-21,18898.68,18960.76,18883.1,18956.69,18956.69,80520000.0,0.004704278635759174,2.382487260222326
2016-11-22,18970.39,19043.9,18962.82,19023.87,19023.87,85310000.0,0.0035438676266794644,2.4169764709683674
2016-11-23,19015.52,19083.76,19000.38,19083.18,19083.18,77880000.0,0.003117662179146663,2.413874690164932
2016-11-25,19093.72,19152.14,19093.72,19152.14,19152.14,45890000.0,0.0036136534896176187,2.4267158225113605
2016-11-28,19122.14,19138.72,19072.25,19097.9,19097.9,88460000.0,-0.0028320594983117786,2.1196139330669888
2016-11-29,19064.07,19144.4,19062.22,19121.6,19121.6,81510000.0,0.0012409741385177586,2.049744105765789
2016-11-30,19135.64,19225.29,19123.38,19123.58,19123.58,164570000.0,0.00010354782026622544,1.9354319648697007
2016-12-01,19149.2,19214.3,19138.79,19191.93,19191.93,108800000.0,0.003574121581837675,1.9910316722525092
2016-12-02,19161.25,19196.14,19141.18,19170.42,19170.42,84920000.0,-0.0011207835793483056,1.830005383936104
2016-12-05,19244.35,19274.85,19186.73,19216.24,19216.24,317800000.0,0.0023901406437627504,1.8377124033312051
2016-12-06,19219.91,19255.89,19184.74,19251.78,19251.78,284960000.0,0.0018494773171024992,1.8208258080803883
2016-12-07,19241.99,19558.42,19229.83,19549.62,19549.62,385200000.0,0.015470777247610368,2.329807250013653
2016-12-08,19559.94,19664.97,19527.83,19614.81,19614.81,324570000.0,0.0033345916698126477,2.297626862556108
2016-12-09,19631.35,19757.74,19623.19,19756.85,19756.85,334470000.0,0.007241467034347915,2.3958948318799167
2016-12-12,19770.2,19824.59,19747.74,19796.43,19796.43,333660000.0,0.0020033557981156136,2.292791775350673
2016-12-13,19852.21,19953.75,19846.45,19911.21,19911.21,388420000.0,0.005798015096661224,2.326315618295762
2016-12-14,19876.13,19966.43,19748.67,19792.53,19792.53,408430000.0,-0.005960461468690226,1.9844106744739118
2016-12-15,19811.5,19951.29,19811.5,19852.24,19852.24,357350000.0,0.0030167947200283596,1.9639620370306374
2016-12-16,19909.01,19923.17,19821.0,19843.41,19843.41,573470000.0,-0.0004447860795558922,1.8432898936769118
2016-12-19,19836.66,19917.78,19832.95,19883.06,19883.06,302310000.0,0.001998144472144636,1.8051126445882133
2016-12-20,19920.59,19987.63,19920.42,19974.62,19974.62,284080000.0,0.004604924996454152,1.843009598766872
2016-12-21,19968.97,19986.56,19941.96,19941.96,19941.96,256640000.0,-0.0016350749100608741,1.7028011659692035
2016-12-22,19922.68,19933.83,19882.19,19918.88,19918.88,258290000.0,-0.001157358654816143,1.5889817955913699
2016-12-23,19908.61,19934.15,19899.06,19933.81,19933.81,158260000.0,0.0007495401347867858,1.5393917854791899
2016-12-27,19943.46,19980.24,19939.8,19945.04,19945.04,158540000.0,0.0005633644546627625,1.488497607119521
2016-12-28,19964.31,19981.11,19827.31,19833.68,19833.68,188350000.0,-0.005583343026637211,1.2769785987024171
2016-12-29,19835.46,19878.44,19788.94,19819.78,19819.78,172040000.0,-0.0007008280863662897,1.209057421655043
2016-12-30,19833.17,19852.55,19718.67,19762.6,19762.6,271910000.0,-0.0028849967053116155,1.0860112652304297
2017-01-03,19872.86,19938.53,19775.93,19881.76,19881.76,339180000.0,0.006029571007863277,1.2097805812567306
2017-01-04,19890.94,19956.14,19878.83,19942.16,19942.16,280010000.0,0.0030379604220149847,1.2470890348451804
2017-01-05,19924.56,19948.6,19811.12,19899.29,19899.29,269920000.0,-0.002149716981510452,1.1423736261827964
2017-01-06,19906.96,19999.63,19834.08,19963.8,19963.8,277700000.0,0.003241824205788113,1.191069805650046
2017-01-09,19931.41,19943.78,19887.38,19887.38,19887.38,287510000.0,-0.003827928550676596,1.0413398755614531
2017-01-10,19876.35,19957.12,19836.03,19855.53,19855.53,299410000.0,-0.0016015181486953578,0.9596243937248106
2017-01-11,19887.38,19973.42,19833.16,19954.28,19954.28,336150000.0,0.004973425539383847,1.0674095429059214
2017-01-12,19926.21,19929.29,19770.47,19891.0,19891.0,306290000.0,-0.003171249476302762,0.9395646541700329
2017-01-13,19912.54,19952.03,19849.38,19885.73,19885.73,263780000.0,-0.0002649439444974977,0.900042146184288
2017-01-17,19848.82,19882.99,19775.35,19826.77,19826.77,341900000.0,-0.002964940185751219,0.7794622974186701
2017-01-18,19822.73,19828.2,19739.0,19804.72,19804.72,279760000.0,-0.0011121327377076051,0.7181124117948182
2017-01-19,19813.55,19824.14,19677.94,19732.4,19732.4,301750000.0,-0.003651654757047762,0.5720068832692795
2017-01-20,19795.06,19843.94,19759.14,19827.25,19827.25,435260000.0,0.004806815187204716,0.7209831316990951
2017-01-23,19794.79,19833.98,19732.36,19799.85,19799.85,326690000.0,-0.0013819364763142383,0.6564342582609504
2017-01-24,19794.68,19949.24,19786.71,19912.71,19912.71,374460000.0,0.005700043182145453,0.8727293887085007
2017-01-25,19994.48,20082.0,19994.48,20068.51,20068.51,372240000.0,0.007824148496111238,1.2042270748353727
2017-01-26,20076.25,20125.58,20067.53,20100.91,20100.91,356730000.0,0.0016144696342679232,1.254708649880636
2017-01-27,20103.36,20115.97,20072.64,20093.78,20093.78,343130000.0,-0.00035471030913525325,1.202357372934082
2017-01-30,20028.62,20028.62,19870.39,19971.13,19971.13,317280000.0,-0.006103878911782545,0.8751259892941702
2017-01-31,19913.16,19918.17,19784.77,19864.09,19864.09,373750000.0,-0.005359736780041979,0.579284366887901
2017-02-01,19923.81,19967.73,19845.99,19890.94,19890.94,426670000.0,0.0013516853779860227,0.6196921975213353
2017-02-02,19858.34,19922.75,19831.09,19884.91,19884.91,347220000.0,-0.0003031530938205629,0.575802248232361
2017-02-03,19964.21,20081.48,19964.21,20071.46,20071.46,344220000.0,0.009381485759804686,1.070049966423594
2017-02-06,20025.61,20094.95,20002.81,20052.42,20052.42,281720000.0,-0.0009486106142752027,0.9991874519084449
2017-02-07,20107.62,20155.35,20068.68,20090.29,20090.29,279670000.0,0.0018885501101613134,1.0959736841515393
2017-02-08,20049.29,20068.28,20015.33,20054.34,20054.34,280410000.0,-0.0017894216559343201,0.9622318431273612
2017-02-09,20061.73,20206.36,20061.73,20172.4,20172.4,325310000.0,0.005887005007394919,1.3313415036812146
2017-02-10,20211.23,20298.21,20204.76,20269.37,20269.37,312230000.0,0.00480706311594048,1.6273327263072972
2017-02-13,20338.54,20441.48,20322.95,20412.16,20412.16,314620000.0,0.007044619541702657,2.083999703025541
2017-02-14,20374.22,20504.41,20374.02,20504.41,20504.41,356580000.0,0.0045193649275725445,2.346598072153259
2017-02-15,20504.27,20620.45,20496.03,20611.86,20611.86,384380000.0,0.005240336103306653,2.6383975325618336
2017-02-16,20627.31,20639.87,20556.83,20619.77,20619.77,354120000.0,0.0003837596412938904,2.5626146215228998
2017-02-17,20564.13,20624.05,20532.61,20624.05,20624.05,340620000.0,0.00020756778567365686,2.506453659728223
2017-02-21,20663.43,20757.64,20663.37,20743.0,20743.0,336880000.0,0.005767538383586235,2.8107982046257067
2017-02-22,20715.41,20781.59,20692.39,20775.6,20775.6,310530000.0,0.0015716145205610932,2.7930382106307032
2017-02-23,20817.21,20840.7,20746.41,20810.32,20810.32,302110000.0,0.0016711912050675348,2.690399218359207
2017-02-24,20751.91,20821.76,20733.95,20821.76,20821.76,292540000.0,0.0005497272507102302,2.525863103359016
2017-02-27,20808.71,20851.33,20774.76,20837.44,20837.44,256540000.0,0.0007530583389685486,2.3841216189035057
2017-02-28,20833.88,20841.24,20781.21,20812.24,20812.24,339210000.0,-0.0012093616106392258,2.154093464506365
2017-03-01,20957.29,21169.11,20957.29,21115.55,21115.55,392820000.0,0.01457363551448565,2.7595131194103724
2017-03-02,21128.91,21129.2,20996.61,21002.97,21002.97,319910000.0,-0.005331615799730405,2.27652393740174
2017-03-03,21008.75,21039.96,20953.86,21005.71,21005.71,254420000.0,0.00013045774002429233,2.1336334499862097
2017-03-06,20955.71,20986.43,20912.11,20954.34,20954.34,266620000.0,-0.002445525526154513,1.8914347676807517
2017-03-07,20934.89,20970.54,20901.26,20924.76,20924.76,274630000.0,-0.0014116407388636842,1.7258893063419147
2017-03-08,20940.44,20951.44,20835.58,20855.73,20855.73,296780000.0,-0.0032989625687462887,1.4914420182409165
2017-03-09,20864.32,20900.57,20777.16,20858.19,20858.19,275960000.0,0.00011795319559659845,1.4318020761720343
2017-03-10,20919.01,20940.29,20827.66,20902.98,20902.98,315430000.0,0.002147357944289441,1.4663607213538932
2017-03-13,20899.28,20926.06,20845.71,20881.48,20881.48,289260000.0,-0.0010285614778371421,1.3582002661908807
2017-03-14,20848.6,20874.0,20786.31,20837.37,20837.37,246820000.0,-0.0021123981633486277,1.2102644388777
2017-03-15,20874.78,20977.47,20859.6,20950.1,20950.1,306590000.0,0.0054099917599965686,1.3975561645512093
2017-03-16,20969.27,21000.11,20893.5,20934.55,20934.55,264360000.0,-0.000742239893842922,1.3091292890056243
2017-03-17,20965.37,20980.51,20911.07,20914.62,20914.62,535280000.0,-0.0009520147316278704,1.2182970405423288
2017-03-20,20916.27,20955.45,20885.7,20905.86,20905.86,253610000.0,-0.0004188457643503618,1.1532024607027358
2017-03-21,20956.33,20970.04,20653.26,20668.01,20668.01,369320000.0,-0.01137719280622762,0.6115243583499244
2017-03-22,20640.42,20686.21,20578.95,20661.3,20661.3,325090000.0,-0.00032465631669420514,0.5696724093114452
2017-03-23,20645.07,20757.89,20618.62,20656.58,20656.58,280050000.0,-0.0002284464191506519,0.5335448947185337
2017-03-24,20674.45,20718.33,20529.67,20596.72,20596.72,292980000.0,-0.0028978659584500965,0.37600350177952313
2017-03-27,20488.35,20578.46,20412.8,20550.98,20550.98,269380000.0,-0.0022207419433775133,0.24792921098253584
2017-03-28,20542.14,20735.61,20520.1,20701.5,20701.5,299670000.0,0.007324224927472978,0.5620451816281521
2017-03-29,20675.75,20684.73,20625.03,20659.32,20659.32,238320000.0,-0.002037533512064371,0.4381720220420023
2017-03-30,20662.79,20753.78,20643.6,20728.49,20728.49,270900000.0,0.003348125688551251,0.570139995001427
2017-03-31,20700.34,20722.59,20660.68,20663.22,20663.22,303770000.0,-0.0031488063047525605,0.38696231621534405
2017-04-03,20665.17,20692.34,20517.82,20650.21,20650.21,285670000.0,-0.0006296211335891089,0.32527181682141043
2017-04-04,20634.94,20701.29,20605.3,20689.24,20689.24,237390000.0,0.0018900534183430295,0.39128325751872217
2017-04-05,20745.06,20887.5,20639.55,20648.15,20648.15,284980000.0,-0.001986056520200896,0.25282046357759685
2017-04-06,20653.77,20746.46,20612.17,20662.95,20662.95,251720000.0,0.0007167712361639822,0.2585703015337722
2017-04-07,20647.81,20726.07,20606.95,20656.1,20656.1,219730000.0,-0.00033151123145547245,0.20658973690364074
2017-04-10,20668.22,20750.33,20614.86,20658.02,20658.02,230480000.0,9.29507506257643e-05,0.18346945708208665
2017-04-11,20644.32,20660.03,20512.56,20651.3,20651.3,255120000.0,-0.0003252973905534251,0.13530268774686
2017-04-12,20637.95,20642.54,20553.03,20591.86,20591.86,267670000.0,-0.002878269164653058,-0.0745886088260645
2017-04-13,20561.69,20612.27,20453.25,20453.25,20453.25,235810000.0,-0.006731300620730796,-0.5522165317380082
2017-04-17,20484.75,20644.41,20484.75,20636.92,20636.92,229240000.0,0.008979990954982586,-0.011001035055357728
2017-04-18,20561.39,20600.12,20462.28,20523.28,20523.28,263180000.0,-0.005506635680130545,-0.47245877848659695
2017-04-19,20503.52,20546.69,20379.55,20404.49,20404.49,294790000.0,-0.0057880611676105476,-1.018042257037299
2017-04-20,20406.68,20629.78,20406.68,20578.71,20578.71,312440000.0,0.008538316811642854,-0.38983504488034887
2017-04-21,20578.1,20601.4,20505.33,20547.76,20547.76,369600000.0,-0.0015039815420889724,-0.5983953051236782
2017-04-24,20723.59,20792.2,20723.59,20763.89,20763.89,342400000.0,0.010518421472705652,0.33409430411956786
2017-04-25,20915.51,21026.97,20909.38,20996.12,20996.12,348180000.0,0.011184320471742115,1.4833772165320647
